name,source_url,folder,image_file,ingredient_count,instruction_count,rating_value,rating_count,image_error
Vegetable Paella,https://thealmondeater.com/vegetable-paella/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\vegetable-paella-01f7cbed,scraped_recipes\vegetable-paella-01f7cbed\image.webp,20,4,5,1,
Green Goddess Pasta Salad,https://theviewfromgreatisland.com/green-goddess-pasta-salad/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\green-goddess-pasta-salad-616558be,scraped_recipes\green-goddess-pasta-salad-616558be\image.jpg,15,6,5,2,
Christmas Salad with Honey Mustard Dressing,https://www.halfbakedharvest.com/christmas-salad/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\christmas-salad-with-honey-mustard-dressing-5280462c,scraped_recipes\christmas-salad-with-honey-mustard-dressing-5280462c\image.jpg,18,1,4.99,131,
Veggie Pot Pie Soup: Comfort in a Bowl Without the Crust,https://melissarecipes.com/veggie-pot-pie-soup-comfort-in-a-bowl-without-the-crust/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\veggie-pot-pie-soup-comfort-in-a-bowl-without-the-crust-bada91d7,scraped_recipes\veggie-pot-pie-soup-comfort-in-a-bowl-without-the-crust-bada91d7\image.webp,16,8,,,
Creamy Tomato White Bean Stew,https://www.bakerita.com/creamy-vegan-tomato-white-bean-stew/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\creamy-tomato-white-bean-stew-d3091025,scraped_recipes\creamy-tomato-white-bean-stew-d3091025\image.jpg,13,6,4.92,25,
Mediterranean Roasted Eggplant,https://succulentrecipes.com/mediterranean-roasted-eggplant/,scraped_recipes\mediterranean-roasted-eggplant-eb5b1c9c,scraped_recipes\mediterranean-roasted-eggplant-eb5b1c9c\image.webp,8,14,,,
Hidden Veggie Pasta Sauce,https://scarlatifamilykitchen.com/hidden-vegetable-pasta-sauce/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\hidden-veggie-pasta-sauce-8626cc04,scraped_recipes\hidden-veggie-pasta-sauce-8626cc04\image.jpg,11,7,5,4,
Hidden Veggie Pasta Sauce,https://www.keepingthepeas.com/hidden-veggie-pasta-sauce/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\hidden-veggie-pasta-sauce-7930bd47,scraped_recipes\hidden-veggie-pasta-sauce-7930bd47\image.jpg,17,6,,,
Green Mac and Cheese,https://thishealthytable.com/blog/green-mac-and-cheese/,scraped_recipes\green-mac-and-cheese-6405eab3,scraped_recipes\green-mac-and-cheese-6405eab3\image.jpg,7,5,5,8,
Butternut Squash Pasta Sauce,https://madaboutfood.co/butternut-squash-pasta-sauce/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\butternut-squash-pasta-sauce-e46f81d1,scraped_recipes\butternut-squash-pasta-sauce-e46f81d1\image.webp,9,10,4.93,51,
Asian Edamame Peanut Crunch Salad,https://eatwithclarity.com/asian-edamame-crunch-salad/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\asian-edamame-peanut-crunch-salad-d6424c92,scraped_recipes\asian-edamame-peanut-crunch-salad-d6424c92\image.jpg,18,8,4.99,95,
Vegetarian Chickpea Tikka Masala,https://www.watchwhatueat.com/healthy-chickpea-tikka-masala/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\vegetarian-chickpea-tikka-masala-3f408685,scraped_recipes\vegetarian-chickpea-tikka-masala-3f408685\image.webp,18,12,4.72,38,
Salad with Asian Dressing (High Protein),https://cookingforpeanuts.com/salad-with-asian-dressing/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\salad-with-asian-dressing-high-protein-1b74c621,scraped_recipes\salad-with-asian-dressing-high-protein-1b74c621\image.jpg,14,3,5,18,
Summer Grain Salad,https://www.spicesinmydna.com/summer-grain-salad/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\summer-grain-salad-b816f555,scraped_recipes\summer-grain-salad-b816f555\image.jpg,21,2,,,
Italian Pasta Salad,https://www.loveandlemons.com/italian-pasta-salad/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\italian-pasta-salad-ab58cbf1,scraped_recipes\italian-pasta-salad-ab58cbf1\image.jpg,14,3,4.98,34,
Easy Creamy Coleslaw Recipe,https://www.loveandlemons.com/coleslaw-recipe/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\easy-creamy-coleslaw-recipe-399e6bdc,scraped_recipes\easy-creamy-coleslaw-recipe-399e6bdc\image.jpg,11,3,4.94,131,
Mexican Street Corn Salad,https://www.loveandlemons.com/mexican-street-corn-salad/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\mexican-street-corn-salad-8aa65584,scraped_recipes\mexican-street-corn-salad-8aa65584\image.jpg,11,2,4.95,240,
Chickpea Salad,https://www.loveandlemons.com/chickpea-salad/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\chickpea-salad-2aeea2f1,scraped_recipes\chickpea-salad-2aeea2f1\image.jpg,14,3,4.95,149,
How to Make a Smoothie Bowl,https://themodernproper.com/how-to-make-a-smoothie-bowl,scraped_recipes\how-to-make-a-smoothie-bowl-4a8d2eb4,scraped_recipes\how-to-make-a-smoothie-bowl-4a8d2eb4\image.jpg,10,3,5,5,
Smoothie Bowl Recipe,https://www.budgetbytes.com/how-to-make-smoothie-bowls/,scraped_recipes\smoothie-bowl-recipe-fcc27cea,scraped_recipes\smoothie-bowl-recipe-fcc27cea\image.jpg,7,3,5,3,
My Go-To Smoothie Bowl (5 minutes!),https://minimalistbaker.com/favorite-smoothie-bowl-5-minutes/,scraped_recipes\my-go-to-smoothie-bowl-5-minutes-1aa6a91d,scraped_recipes\my-go-to-smoothie-bowl-5-minutes-1aa6a91d\image.jpg,9,4,4.67,66,
Easy Fruit Salad,https://www.loveandlemons.com/fruit-salad-recipe/,scraped_recipes\easy-fruit-salad-66b20ad6,scraped_recipes\easy-fruit-salad-66b20ad6\image.jpg,9,4,4.85,19,
Chocolate Peanut Butter Smoothie Bowl,https://www.bakerita.com/chocolate-peanut-butter-smoothie-bowl/,scraped_recipes\chocolate-peanut-butter-smoothie-bowl-03d55114,scraped_recipes\chocolate-peanut-butter-smoothie-bowl-03d55114\image.jpg,11,2,5,7,
Perfect Pumpkin Spice Cookies - theamazingfood,https://theamazingfood.com/perfect-pumpkin-spice-cookies-26141/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\perfect-pumpkin-spice-cookies-theamazingfood-0d04ff75,scraped_recipes\perfect-pumpkin-spice-cookies-theamazingfood-0d04ff75\image.webp,16,0,4.7,171,
Orange Cardamom Fig Cake,https://www.rhubarbandlavender.com/orange-cardamom-fig-cake/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\orange-cardamom-fig-cake-ca4a5b1e,scraped_recipes\orange-cardamom-fig-cake-ca4a5b1e\image.jpg,16,9,,,
Pumpkin Miso Caramel Cookies,https://justinesnacks.com/pumpkin-miso-caramel-cookies/,scraped_recipes\pumpkin-miso-caramel-cookies-6f8910fc,scraped_recipes\pumpkin-miso-caramel-cookies-6f8910fc\image.jpg,13,11,5,4,
Brown Butter PB & J Cookies,https://honeyedsundays.com/2022/03/22/brown-butter-pb-j-cookies/,scraped_recipes\brown-butter-pb-j-cookies-b4c171e2,scraped_recipes\brown-butter-pb-j-cookies-b4c171e2\image.webp,10,4,,,
Apple Cider Pound Cake,https://4sonrus.com/apple-cider-pound-cake/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\apple-cider-pound-cake-01e19aa9,scraped_recipes\apple-cider-pound-cake-01e19aa9\image.jpg,10,15,4.79,19,
Apple Upside Down Cake,https://www.meatydelights.net/apple-upside-down-cake/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\apple-upside-down-cake-48863b06,scraped_recipes\apple-upside-down-cake-48863b06\image.webp,12,6,5,1,
Apple Snickerdoodles,https://sturbridgebakery.com/apple-snickerdoodles/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\apple-snickerdoodles-ea40e41c,scraped_recipes\apple-snickerdoodles-ea40e41c\image.jpg,19,9,5,3,
Brown Butter Raspberry Chocolate Chip Cookies,https://www.halfbakedharvest.com/raspberry-chocolate-chip-cookies/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\brown-butter-raspberry-chocolate-chip-cookies-be4f6447,scraped_recipes\brown-butter-raspberry-chocolate-chip-cookies-be4f6447\image.jpg,11,1,4.65,164,
Pistachio Cardamom Pound Cake,https://theviewfromgreatisland.com/pistachio-cardamom-pound-cake/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\pistachio-cardamom-pound-cake-b65a359a,scraped_recipes\pistachio-cardamom-pound-cake-b65a359a\image.jpg,13,9,3.98,135,
Raspberry White Chocolate Cookies,https://stephaniessweets.com/raspberry-white-chocolate-cookies/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\raspberry-white-chocolate-cookies-0f5b0d52,scraped_recipes\raspberry-white-chocolate-cookies-0f5b0d52\image.jpg,12,8,5,50,
Moist Blueberry Buckle Cake with Cinnamon Streusel Topping,https://www.bakeandbacon.com/blueberry-buckle-cake/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\moist-blueberry-buckle-cake-with-cinnamon-streusel-topping-025f17aa,scraped_recipes\moist-blueberry-buckle-cake-with-cinnamon-streusel-topping-025f17aa\image.jpg,12,9,4.96,87,
Espresso Chocolate Chip Cookies,https://cambreabakes.com/espresso-chocolate-chip-cookies-recipe/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\espresso-chocolate-chip-cookies-0f66084d,scraped_recipes\espresso-chocolate-chip-cookies-0f66084d\image.jpg,11,8,4.98,115,
Coconut Cookies,https://www.crunchycreamysweet.com/coconut-cookies/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\coconut-cookies-b2cfd5da,scraped_recipes\coconut-cookies-b2cfd5da\image.jpg,10,11,4.8,10,
Cardamom Sugar Cookies,https://theviewfromgreatisland.com/cardamom-sugar-cookies/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\cardamom-sugar-cookies-eea76a01,scraped_recipes\cardamom-sugar-cookies-eea76a01\image.webp,6,9,4.83,23,
Tiramisu,https://tastesbetterfromscratch.com/easy-tiramisu/,scraped_recipes\tiramisu-aa77e9ad,scraped_recipes\tiramisu-aa77e9ad\image.jpg,8,4,4.97,7114,
Tablespoon Italian Lemon Cake,https://anitalianinmykitchen.com/lemon-cake/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\tablespoon-italian-lemon-cake-82a6eb40,scraped_recipes\tablespoon-italian-lemon-cake-82a6eb40\image.jpg,9,6,4.32,504,
Salted Honey Pistachio Cookies,https://cookiesandcups.com/salted-honey-pistachio-cookies/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\salted-honey-pistachio-cookies-e1189824,scraped_recipes\salted-honey-pistachio-cookies-e1189824\image.jpg,12,7,5,34,
Cardamom Bundt Cake,https://vintagekitchennotes.com/cardamom-bundt-cake-saffron/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\cardamom-bundt-cake-bb0e2ea6,scraped_recipes\cardamom-bundt-cake-bb0e2ea6\image.jpg,11,12,5,5,
Lemon Curd Thumbprint Cookies,https://pastryandbeyond.com/ginger-thumbprint-cookies-lemon-curd/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\lemon-curd-thumbprint-cookies-78f7c22f,scraped_recipes\lemon-curd-thumbprint-cookies-78f7c22f\image.jpg,8,7,4.96,188,
Blueberry Sour Cream Muffins,https://farmettekitchen.com/blueberry-sour-cream-muffins/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\blueberry-sour-cream-muffins-00edb192,scraped_recipes\blueberry-sour-cream-muffins-00edb192\image.jpg,10,11,,,
Dark Chocolate Pistachio Tahini Cookies,https://infinetaste.com/dark-chocolate-pistachio-tahini-cookies/,scraped_recipes\dark-chocolate-pistachio-tahini-cookies-fb87f4ae,scraped_recipes\dark-chocolate-pistachio-tahini-cookies-fb87f4ae\image.jpg,11,6,4.49,160,
Banana Bread,https://www.simplyrecipes.com/recipes/banana_bread/,scraped_recipes\banana-bread-7e5ea1d3,scraped_recipes\banana-bread-7e5ea1d3\image.jpg,8,6,4.8,2160,
Chai Cookies,https://inbloombakery.com/chai-cookies/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\chai-cookies-4b21f932,scraped_recipes\chai-cookies-4b21f932\image.jpg,23,12,4.94,319,
Jam Thumbprint Cookies,https://www.spendwithpennies.com/jam-thumbprint-cookies/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\jam-thumbprint-cookies-3ccbe902,scraped_recipes\jam-thumbprint-cookies-3ccbe902\image.jpg,11,10,4.98,49,
Chocolate Crinkle Cookies,https://preppykitchen.com/chocolate-crinkle-cookies/,scraped_recipes\chocolate-crinkle-cookies-00f746e7,scraped_recipes\chocolate-crinkle-cookies-00f746e7\image.jpg,9,7,4.97,1107,
